"date","unrate"
Nov 1981,8.3
Dec 1981,8.5
Jan 1982,8.6
Feb 1982,8.9
Mar 1982,9
Apr 1982,9.3
May 1982,9.4
Jun 1982,9.6
Jul 1982,9.8
Aug 1982,9.8
Sep 1982,10.1
Oct 1982,10.4
Nov 1982,10.8
Dec 1982,10.8
Jan 1983,10.4
Feb 1983,10.4
Mar 1983,10.3
Apr 1983,10.2
May 1983,10.1
Jun 1983,10.1
Jul 1983,9.4
Aug 1983,9.5
Sep 1983,9.2
Oct 1983,8.8
Nov 1983,8.5
Dec 1983,8.3
Jan 1984,8
Feb 1984,7.8
Mar 1984,7.8
Apr 1984,7.7
May 1984,7.4
Jun 1984,7.2
Jul 1984,7.5
Aug 1984,7.5
Sep 1984,7.3
Oct 1984,7.4
Nov 1984,7.2
Dec 1984,7.3
Jan 1985,7.3
Feb 1985,7.2
Mar 1985,7.2
Apr 1985,7.3
May 1985,7.2
Jun 1985,7.4
Jul 1985,7.4
Aug 1985,7.1
Sep 1985,7.1
Oct 1985,7.1
Nov 1985,7
Dec 1985,7
Jan 1986,6.7
Feb 1986,7.2
Mar 1986,7.2
Apr 1986,7.1
May 1986,7.2
Jun 1986,7.2
Jul 1986,7
Aug 1986,6.9
Sep 1986,7
Oct 1986,7
Nov 1986,6.9
Dec 1986,6.6
Jan 1987,6.6
Feb 1987,6.6
Mar 1987,6.6
Apr 1987,6.3
May 1987,6.3
Jun 1987,6.2
Jul 1987,6.1
Aug 1987,6
Sep 1987,5.9
Oct 1987,6
Nov 1987,5.8
Dec 1987,5.7
Jan 1988,5.7
Feb 1988,5.7
Mar 1988,5.7
Apr 1988,5.4
May 1988,5.6
Jun 1988,5.4
Jul 1988,5.4
Aug 1988,5.6
Sep 1988,5.4
Oct 1988,5.4
Nov 1988,5.3
Dec 1988,5.3
Jan 1989,5.4
Feb 1989,5.2
Mar 1989,5
Apr 1989,5.2
May 1989,5.2
Jun 1989,5.3
Jul 1989,5.2
Aug 1989,5.2
Sep 1989,5.3
Oct 1989,5.3
Nov 1989,5.4
Dec 1989,5.4
Jan 1990,5.4
Feb 1990,5.3
Mar 1990,5.2
Apr 1990,5.4
May 1990,5.4
Jun 1990,5.2
Jul 1990,5.5
Aug 1990,5.7
Sep 1990,5.9
Oct 1990,5.9
Nov 1990,6.2
Dec 1990,6.3
Jan 1991,6.4
Feb 1991,6.6
Mar 1991,6.8
Apr 1991,6.7
May 1991,6.9
Jun 1991,6.9
Jul 1991,6.8
Aug 1991,6.9
Sep 1991,6.9
Oct 1991,7
Nov 1991,7
Dec 1991,7.3
Jan 1992,7.3
Feb 1992,7.4
Mar 1992,7.4
Apr 1992,7.4
May 1992,7.6
Jun 1992,7.8
Jul 1992,7.7
Aug 1992,7.6
Sep 1992,7.6
Oct 1992,7.3
Nov 1992,7.4
Dec 1992,7.4
Jan 1993,7.3
Feb 1993,7.1
Mar 1993,7
Apr 1993,7.1
May 1993,7.1
Jun 1993,7
Jul 1993,6.9
Aug 1993,6.8
Sep 1993,6.7
Oct 1993,6.8
Nov 1993,6.6
Dec 1993,6.5
Jan 1994,6.6
Feb 1994,6.6
Mar 1994,6.5
Apr 1994,6.4
May 1994,6.1
Jun 1994,6.1
Jul 1994,6.1
Aug 1994,6
Sep 1994,5.9
Oct 1994,5.8
Nov 1994,5.6
Dec 1994,5.5
Jan 1995,5.6
Feb 1995,5.4
Mar 1995,5.4
Apr 1995,5.8
May 1995,5.6
Jun 1995,5.6
Jul 1995,5.7
Aug 1995,5.7
Sep 1995,5.6
Oct 1995,5.5
Nov 1995,5.6
Dec 1995,5.6
Jan 1996,5.6
Feb 1996,5.5
Mar 1996,5.5
Apr 1996,5.6
May 1996,5.6
Jun 1996,5.3
Jul 1996,5.5
Aug 1996,5.1
Sep 1996,5.2
Oct 1996,5.2
Nov 1996,5.4
Dec 1996,5.4
Jan 1997,5.3
Feb 1997,5.2
Mar 1997,5.2
Apr 1997,5.1
May 1997,4.9
Jun 1997,5
Jul 1997,4.9
Aug 1997,4.8
Sep 1997,4.9
Oct 1997,4.7
Nov 1997,4.6
Dec 1997,4.7
Jan 1998,4.6
Feb 1998,4.6
Mar 1998,4.7
Apr 1998,4.3
May 1998,4.4
Jun 1998,4.5
Jul 1998,4.5
Aug 1998,4.5
Sep 1998,4.6
Oct 1998,4.5
Nov 1998,4.4
Dec 1998,4.4
Jan 1999,4.3
Feb 1999,4.4
Mar 1999,4.2
Apr 1999,4.3
May 1999,4.2
Jun 1999,4.3
Jul 1999,4.3
Aug 1999,4.2
Sep 1999,4.2
Oct 1999,4.1
Nov 1999,4.1
Dec 1999,4
Jan 2000,4
Feb 2000,4.1
Mar 2000,4
Apr 2000,3.8
May 2000,4
Jun 2000,4
Jul 2000,4
Aug 2000,4.1
Sep 2000,3.9
Oct 2000,3.9
Nov 2000,3.9
Dec 2000,3.9
Jan 2001,4.2
Feb 2001,4.2
Mar 2001,4.3
Apr 2001,4.4
May 2001,4.3
Jun 2001,4.5
Jul 2001,4.6
Aug 2001,4.9
Sep 2001,5
Oct 2001,5.3
Nov 2001,5.5
Dec 2001,5.7
Jan 2002,5.7
Feb 2002,5.7
Mar 2002,5.7
Apr 2002,5.9
May 2002,5.8
Jun 2002,5.8
Jul 2002,5.8
Aug 2002,5.7
Sep 2002,5.7
Oct 2002,5.7
Nov 2002,5.9
Dec 2002,6
Jan 2003,5.8
Feb 2003,5.9
Mar 2003,5.9
Apr 2003,6
May 2003,6.1
Jun 2003,6.3
Jul 2003,6.2
Aug 2003,6.1
Sep 2003,6.1
Oct 2003,6
Nov 2003,5.8
Dec 2003,5.7
Jan 2004,5.7
Feb 2004,5.6
Mar 2004,5.8
Apr 2004,5.6
May 2004,5.6
Jun 2004,5.6
Jul 2004,5.5
Aug 2004,5.4
Sep 2004,5.4
Oct 2004,5.5
Nov 2004,5.4
Dec 2004,5.4
Jan 2005,5.3
Feb 2005,5.4
Mar 2005,5.2
Apr 2005,5.2
May 2005,5.1
Jun 2005,5
Jul 2005,5
Aug 2005,4.9
Sep 2005,5
Oct 2005,5
Nov 2005,5
Dec 2005,4.9
Jan 2006,4.7
Feb 2006,4.8
Mar 2006,4.7
Apr 2006,4.7
May 2006,4.6
Jun 2006,4.6
Jul 2006,4.7
Aug 2006,4.7
Sep 2006,4.5
Oct 2006,4.4
Nov 2006,4.5
Dec 2006,4.4
Jan 2007,4.6
Feb 2007,4.5
Mar 2007,4.4
Apr 2007,4.5
May 2007,4.4
Jun 2007,4.6
Jul 2007,4.7
Aug 2007,4.6
Sep 2007,4.7
Oct 2007,4.7
Nov 2007,4.7
Dec 2007,5
Jan 2008,5
Feb 2008,4.9
Mar 2008,5.1
Apr 2008,5
May 2008,5.4
Jun 2008,5.6
Jul 2008,5.8
Aug 2008,6.1
Sep 2008,6.1
Oct 2008,6.5
Nov 2008,6.8
Dec 2008,7.3
Jan 2009,7.8
Feb 2009,8.3
Mar 2009,8.7
Apr 2009,9
May 2009,9.4
Jun 2009,9.5
Jul 2009,9.5
Aug 2009,9.6
Sep 2009,9.8
Oct 2009,10
Nov 2009,9.9
Dec 2009,9.9
Jan 2010,9.8
Feb 2010,9.8
Mar 2010,9.9
Apr 2010,9.9
May 2010,9.6
Jun 2010,9.4
Jul 2010,9.4
Aug 2010,9.5
Sep 2010,9.5
Oct 2010,9.4
Nov 2010,9.8
Dec 2010,9.3
Jan 2011,9.1
Feb 2011,9
Mar 2011,9
Apr 2011,9.1
May 2011,9
Jun 2011,9.1
Jul 2011,9
Aug 2011,9
Sep 2011,9
Oct 2011,8.8
Nov 2011,8.6
Dec 2011,8.5
Jan 2012,8.3
Feb 2012,8.3
Mar 2012,8.2
Apr 2012,8.2
May 2012,8.2
Jun 2012,8.2
Jul 2012,8.2
Aug 2012,8.1
Sep 2012,7.8
Oct 2012,7.8
Nov 2012,7.7
Dec 2012,7.9
Jan 2013,8
Feb 2013,7.7
Mar 2013,7.5
Apr 2013,7.6
May 2013,7.5
Jun 2013,7.5
Jul 2013,7.3
Aug 2013,7.3
Sep 2013,7.2
Oct 2013,7.2
Nov 2013,6.9
Dec 2013,6.7
Jan 2014,6.6
Feb 2014,6.7
Mar 2014,6.7
Apr 2014,6.2
May 2014,6.3
Jun 2014,6.1
Jul 2014,6.2
Aug 2014,6.2
Sep 2014,5.9
Oct 2014,5.7
Nov 2014,5.8
Dec 2014,5.6
Jan 2015,5.7
Feb 2015,5.5
Mar 2015,5.4
Apr 2015,5.4
May 2015,5.5
Jun 2015,5.3
Jul 2015,5.2
Aug 2015,5.1
Sep 2015,5
Oct 2015,5
Nov 2015,5
Dec 2015,5
Jan 2016,4.9
Feb 2016,4.9
Mar 2016,5
Apr 2016,5
May 2016,4.7
Jun 2016,4.9
Jul 2016,4.9
Aug 2016,4.9
Sep 2016,4.9
Oct 2016,4.8
Nov 2016,4.6
Dec 2016,4.7
Jan 2017,4.8
Feb 2017,4.7
Mar 2017,4.5
Apr 2017,4.4
May 2017,4.3
Jun 2017,4.4
Jul 2017,4.3
